Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.124023,-0.028809,-0.772217,34.26,1006.535,56.05363,0.14,0.76,no
1,13.099,74.798,0.122803,-0.033936,-0.774902,34.26,1006.535,56.05363,0.14,0.76,no
1,13.099,74.798,0.109375,-0.033936,-0.771484,34.26,1006.544,55.97931,0.14,0.76,no
1,13.099,74.798,0.120361,-0.030518,-0.779297,34.26,1006.532,56.08244,0.14,0.76,no
1,13.099,74.798,0.122559,-0.034668,-0.778076,34.26,1006.556,55.87821,0.14,0.76,no
1,13.099,74.798,0.118896,-0.036865,-0.783691,34.27,1006.538,56.15271,0.14,0.76,no
1,13.099,74.798,0.122559,-0.029785,-0.76709,34.27,1006.55,55.93483,0.14,0.76,no
1,13.099,74.798,0.12085,-0.027832,-0.772461,34.27,1006.534,56.06525,0.14,0.76,no
1,13.099,74.798,0.125,-0.032959,-0.781494,34.27,1006.538,56.03593,0.14,0.76,no
1,13.099,74.798,0.125244,-0.03833,-0.772461,34.27,1006.531,56.09407,0.14,0.76,no
1,13.099,74.798,0.119385,-0.036133,-0.783447,34.27,1006.562,55.8317,0.14,0.76,no
1,13.099,74.798,0.119629,-0.034668,-0.77002,34.27,1006.532,56.08143,0.14,0.76,no
1,13.099,74.798,0.130371,-0.032959,-0.778076,34.27,1006.534,56.06525,0.14,0.76,no
1,13.099,74.798,0.124512,-0.040527,-0.785645,34.28,1006.573,55.74273,0.14,0.76,no
1,13.099,74.798,0.12207,-0.039307,-0.775391,34.27,1006.519,56.19468,0.14,0.76,no
1,13.099,74.798,0.125732,-0.032959,-0.778564,34.27,1006.517,56.20984,0.14,0.76,no
1,13.099,74.798,0.126465,-0.03125,-0.778564,34.28,1006.536,56.04857,0.14,0.76,no
1,13.099,74.798,0.125488,-0.036377,-0.77002,34.28,1006.536,56.04857,0.14,0.76,no
