Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.131348,-0.025635,-0.778564,34.02,1006.486,56.4697,0.14,0.71,no
1,13.099,74.798,0.125732,-0.02417,-0.77832,34.01,1006.524,56.14715,0.14,0.71,no
1,13.099,74.798,0.127197,-0.025879,-0.777588,34.01,1006.543,55.9869,0.14,0.71,no
1,13.099,74.798,0.124512,-0.024414,-0.780518,34.01,1006.539,56.02077,0.14,0.71,no
1,13.099,74.798,0.130615,-0.021973,-0.776611,34.01,1006.539,56.02077,0.14,0.71,no
1,13.099,74.798,0.129395,-0.020508,-0.780518,34.01,1006.527,56.1244,0.14,0.71,no
1,13.099,74.798,0.130371,-0.022461,-0.770996,34.01,1006.527,56.1244,0.14,0.71,no
1,13.099,74.798,0.123535,-0.017822,-0.77124,34.0,1006.569,55.77508,0.14,0.71,no
1,13.099,74.798,0.135742,-0.02002,-0.764893,34.01,1006.529,56.10924,0.14,0.71,no
1,13.099,74.798,0.123291,-0.019287,-0.790039,34.0,1006.534,56.06778,0.14,0.71,no
1,13.099,74.798,0.109375,-0.023193,-0.782471,34.0,1006.555,55.89438,0.14,0.71,no
1,13.099,74.798,0.134033,-0.008545,-0.778076,34.0,1006.544,55.98184,0.14,0.71,no
1,13.099,74.798,0.129639,-0.023926,-0.780029,34.0,1006.547,55.95353,0.14,0.71,no
1,13.099,74.798,0.137695,-0.021729,-0.773193,34.0,1006.53,56.09912,0.14,0.71,no
1,13.099,74.798,0.123047,-0.019043,-0.773682,33.99,1006.532,56.08649,0.14,0.71,no
1,13.099,74.798,0.124512,-0.02417,-0.780518,34.0,1006.534,56.06981,0.14,0.71,no
1,13.099,74.798,0.13623,-0.01709,-0.777832,33.99,1006.518,56.20377,0.14,0.71,no
1,13.099,74.798,0.134033,-0.022461,-0.777832,33.99,1006.526,56.12946,0.14,0.71,no
1,13.099,74.798,0.126465,-0.022949,-0.779541,33.99,1006.549,55.9414,0.14,0.71,no
1,13.099,74.798,0.129395,-0.031494,-0.791748,33.99,1006.516,56.21742,0.14,0.71,no
1,13.099,74.798,0.146484,-0.017822,-0.792725,33.99,1006.511,56.26141,0.14,0.71,no
1,13.099,74.798,0.133545,-0.029297,-0.773926,33.98,1006.531,56.08851,0.14,0.71,no
1,13.099,74.798,0.128906,-0.021484,-0.77417,33.98,1006.535,56.0602,0.14,0.71,no
1,13.099,74.798,0.12793,-0.026123,-0.780273,33.98,1006.565,55.81047,0.14,0.71,no
1,13.099,74.798,0.110352,-0.027344,-0.774658,33.98,1006.545,55.97123,0.14,0.71,no
1,13.099,74.798,0.136475,-0.015869,-0.772705,33.98,1006.545,55.97123,0.14,0.71,no
1,13.099,74.798,0.125244,-0.017822,-0.775635,33.98,1006.547,55.95808,0.14,0.71,no
1,13.099,74.798,0.131592,-0.021484,-0.775635,33.98,1006.549,55.94443,0.14,0.71,no
1,13.099,74.798,0.140625,-0.022461,-0.766846,33.98,1006.552,55.91612,0.14,0.71,no
1,13.099,74.798,0.130859,-0.023926,-0.768311,33.98,1006.557,55.87164,0.14,0.71,no
1,13.099,74.798,0.132568,-0.014893,-0.78125,33.98,1006.576,55.71088,0.14,0.71,no
1,13.099,74.798,0.115479,-0.024902,-0.773926,33.97,1006.571,55.75688,0.14,0.71,no
1,13.099,74.798,0.125244,-0.014893,-0.7771,33.97,1006.546,55.96263,0.14,0.71,no
1,13.099,74.798,0.136475,-0.022705,-0.772461,33.97,1006.538,56.03543,0.14,0.71,no
1,13.099,74.798,0.125732,-0.020264,-0.767334,33.97,1006.532,56.08042,0.14,0.71,no
1,13.099,74.798,0.131104,-0.014648,-0.772949,33.96,1006.55,55.93483,0.14,0.71,no
1,13.099,74.798,0.124512,-0.028809,-0.778076,33.96,1006.553,55.90652,0.14,0.71,no
1,13.099,74.798,0.130371,-0.023193,-0.777832,33.96,1006.525,56.14109,0.14,0.71,no
1,13.099,74.798,0.123291,-0.031738,-0.79126,33.96,1006.536,56.05211,0.14,0.71,no
1,13.099,74.798,0.132568,-0.011963,-0.77002,33.96,1006.544,55.98083,0.14,0.71,no
1,13.099,74.798,0.138672,-0.02124,-0.786865,33.96,1006.53,56.09811,0.14,0.71,no
1,13.099,74.798,0.132813,-0.018066,-0.781982,33.95,1006.54,56.01318,0.14,0.71,no
1,13.099,74.798,0.124756,-0.026855,-0.771484,33.95,1006.558,55.86658,0.14,0.71,no
1,13.099,74.798,0.126953,-0.029053,-0.778809,33.95,1006.533,56.07132,0.14,0.71,no
1,13.099,74.798,0.123535,-0.020264,-0.779297,33.95,1006.537,56.0415,0.14,0.71,no
1,13.099,74.798,0.127197,-0.021484,-0.780029,33.95,1006.532,56.08649,0.14,0.71,no
1,13.099,74.798,0.124512,-0.028076,-0.784424,33.95,1006.568,55.77963,0.14,0.71,no
1,13.099,74.798,0.132324,-0.017822,-0.775146,33.95,1006.544,55.98437,0.14,0.71,no
1,13.099,74.798,0.116699,-0.02832,-0.784912,33.95,1006.547,55.95555,0.14,0.71,no
1,13.099,74.798,0.133057,-0.023926,-0.765869,33.95,1006.516,56.21995,0.14,0.71,no
1,13.099,74.798,0.108398,-0.032715,-0.780029,33.95,1006.528,56.11732,0.14,0.71,no
1,13.099,74.798,0.126465,-0.017578,-0.789551,33.95,1006.542,56.00004,0.14,0.71,no
1,13.099,74.798,0.131836,-0.023193,-0.771484,33.94,1006.54,56.01672,0.14,0.71,no
1,13.099,74.798,0.161133,-0.006104,-0.773682,33.95,1006.565,55.81047,0.14,0.71,no
1,13.099,74.798,0.125244,-0.024414,-0.776855,33.95,1006.531,56.08851,0.14,0.71,no
1,13.099,74.798,0.121094,-0.022705,-0.772217,33.94,1006.536,56.04958,0.14,0.71,no
1,13.099,74.798,0.133301,-0.024658,-0.78125,33.95,1006.542,56.00055,0.14,0.71,no
1,13.099,74.798,0.134521,-0.024414,-0.77832,33.94,1006.552,55.9141,0.14,0.71,no
1,13.099,74.798,0.125,-0.021484,-0.772461,33.94,1006.515,56.2245,0.14,0.71,no
1,13.099,74.798,0.129395,-0.025879,-0.781494,33.94,1006.54,56.01925,0.14,0.71,no
1,13.099,74.798,0.127197,-0.025635,-0.778564,33.94,1006.54,56.01925,0.14,0.71,no
1,13.099,74.798,0.126465,-0.015137,-0.770508,33.94,1006.545,55.97527,0.14,0.71,no
1,13.099,74.798,0.132813,-0.023926,-0.776855,33.94,1006.538,56.03492,0.14,0.71,no
1,13.099,74.798,0.128418,-0.023438,-0.781006,33.93,1006.545,55.9778,0.14,0.71,no
1,13.099,74.798,0.122803,-0.029785,-0.781006,33.94,1006.538,56.03492,0.14,0.71,no
1,13.099,74.798,0.135742,-0.024414,-0.770508,33.93,1006.534,56.06576,0.14,0.71,no
1,13.099,74.798,0.115723,-0.020264,-0.770752,33.93,1006.531,56.09407,0.14,0.71,no
1,13.099,74.798,0.130615,-0.026367,-0.773682,33.93,1006.543,55.99347,0.14,0.71,no
1,13.099,74.798,0.133789,-0.020996,-0.772217,33.93,1006.565,55.80592,0.14,0.71,no
1,13.099,74.798,0.117676,-0.027832,-0.764404,33.92,1006.539,56.02633,0.14,0.71,no
1,13.099,74.798,0.118408,-0.021484,-0.783936,33.92,1006.532,56.08396,0.14,0.71,no
1,13.099,74.798,0.117432,-0.019287,-0.777588,33.92,1006.546,55.96718,0.14,0.71,no
1,13.099,74.798,0.121338,-0.013672,-0.780273,33.92,1006.526,56.12946,0.14,0.71,no
1,13.099,74.798,0.112061,-0.025635,-0.781494,33.92,1006.556,55.88276,0.14,0.71,no
1,13.099,74.798,0.136475,-0.020752,-0.774902,33.92,1006.539,56.02683,0.14,0.71,no
1,13.099,74.798,0.140869,-0.016846,-0.775146,33.92,1006.56,55.85091,0.14,0.71,no
1,13.099,74.798,0.130371,-0.020508,-0.777344,33.92,1006.552,55.91208,0.14,0.71,no
1,13.099,74.798,0.12793,-0.020996,-0.769531,33.92,1006.526,56.13148,0.14,0.71,no
1,13.099,74.798,0.118652,-0.030518,-0.779541,33.91,1006.524,56.14564,0.14,0.71,no
1,13.099,74.798,0.139648,-0.014404,-0.787109,33.91,1006.532,56.08649,0.14,0.71,no
1,13.099,74.798,0.115234,-0.033447,-0.773926,33.91,1006.531,56.08902,0.14,0.71,no
1,13.099,74.798,0.123047,-0.032471,-0.775635,33.91,1006.565,55.81047,0.14,0.71,no
1,13.099,74.798,0.125488,-0.02124,-0.7771,33.91,1006.517,56.20529,0.14,0.71,no
1,13.099,74.798,0.124023,-0.021973,-0.774658,33.91,1006.531,56.08902,0.14,0.71,no
1,13.099,74.798,0.125244,-0.02417,-0.775146,33.91,1006.549,55.94241,0.14,0.71,no
1,13.099,74.798,0.129395,-0.020752,-0.779297,33.91,1006.552,55.91511,0.14,0.71,no
1,13.099,74.798,0.125488,-0.024902,-0.784424,33.9,1006.533,56.07688,0.14,0.71,no
1,13.099,74.798,0.127441,-0.025635,-0.776855,33.9,1006.561,55.84333,0.14,0.71,no
1,13.099,74.798,0.138672,-0.011719,-0.778809,33.91,1006.543,55.98791,0.14,0.71,no
1,13.099,74.798,0.118408,-0.022949,-0.783936,33.9,1006.512,56.25079,0.14,0.71,no
1,13.099,74.798,0.117188,-0.020508,-0.785645,33.9,1006.526,56.13603,0.14,0.71,no
1,13.099,74.798,0.120605,-0.017578,-0.787354,33.9,1006.555,55.88882,0.14,0.71,no
1,13.099,74.798,0.122314,-0.02417,-0.773438,33.89,1006.524,56.15271,0.14,0.7,no
1,13.099,74.798,0.130127,-0.021729,-0.775879,33.89,1006.543,55.99246,0.14,0.71,no
1,13.099,74.798,0.124512,-0.022217,-0.77124,33.89,1006.553,55.9045,0.14,0.71,no
1,13.099,74.798,0.128662,-0.013916,-0.783203,33.89,1006.504,56.31348,0.14,0.71,no
1,13.099,74.798,0.12085,-0.020508,-0.773193,33.9,1006.518,56.19569,0.14,0.71,no
1,13.099,74.798,0.117676,-0.021484,-0.776855,33.89,1006.537,56.03695,0.14,0.71,no
1,13.099,74.798,0.124756,-0.040771,-0.780273,33.89,1006.555,55.89034,0.14,0.71,no
1,13.099,74.798,0.125732,-0.028076,-0.777832,33.89,1006.523,56.15423,0.14,0.71,no
