Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.114746,-0.016846,-0.776855,34.3,1006.534,56.06525,0.14,0.71,no
1,13.099,74.798,0.116455,-0.0271,-0.781494,34.3,1006.543,55.99347,0.14,0.72,no
1,13.099,74.798,0.13623,-0.01123,-0.773926,34.3,1006.527,56.12693,0.14,0.72,no
1,13.099,74.798,0.126709,-0.02124,-0.772705,34.29,1006.539,56.02835,0.14,0.72,no
1,13.099,74.798,0.121582,-0.02832,-0.780029,34.3,1006.518,56.20023,0.14,0.72,no
1,13.099,74.798,0.125977,-0.024658,-0.768066,34.29,1006.519,56.18861,0.14,0.72,no
1,13.099,74.798,0.13208,-0.019775,-0.773926,34.29,1006.497,56.37819,0.14,0.72,no
1,13.099,74.798,0.134277,-0.018555,-0.777344,34.29,1006.518,56.20175,0.14,0.72,no
1,13.099,74.798,0.12207,-0.02002,-0.773926,34.29,1006.547,55.95404,0.14,0.72,no
1,13.099,74.798,0.127197,-0.023438,-0.77832,34.29,1006.491,56.42369,0.14,0.71,no
1,13.099,74.798,0.127686,-0.016602,-0.779053,34.29,1006.518,56.20327,0.14,0.71,no
1,13.099,74.798,0.120361,-0.018555,-0.780762,34.29,1006.516,56.21843,0.14,0.72,no
1,13.099,74.798,0.124023,-0.021484,-0.782227,34.29,1006.518,56.20377,0.14,0.72,no
1,13.099,74.798,0.131104,-0.022949,-0.779053,34.28,1006.507,56.29275,0.14,0.72,no
1,13.099,74.798,0.136475,-0.021484,-0.775879,34.28,1006.524,56.14665,0.14,0.72,no
1,13.099,74.798,0.125977,-0.016357,-0.775391,34.28,1006.543,55.98943,0.14,0.71,no
1,13.099,74.798,0.126221,-0.02002,-0.77832,34.28,1006.513,56.23815,0.14,0.71,no
1,13.099,74.798,0.130127,-0.026855,-0.773193,34.28,1006.52,56.17951,0.14,0.72,no
1,13.099,74.798,0.120117,-0.026611,-0.773926,34.28,1006.536,56.04705,0.14,0.71,no
1,13.099,74.798,0.124756,-0.028809,-0.77002,34.27,1006.532,56.06374,0.14,0.72,no
1,13.099,74.798,0.124756,-0.023193,-0.773926,34.27,1006.534,56.06525,0.14,0.71,no
1,13.099,74.798,0.125244,-0.02124,-0.783447,34.27,1006.522,56.16838,0.14,0.71,no
1,13.099,74.798,0.128418,-0.021729,-0.773193,34.27,1006.517,56.21035,0.14,0.72,no
1,13.099,74.798,0.125732,-0.020508,-0.781982,34.27,1006.555,55.89034,0.14,0.71,no
1,13.099,74.798,0.127441,-0.020508,-0.780762,34.27,1006.541,56.00661,0.14,0.72,no
1,13.099,74.798,0.131836,-0.01709,-0.772217,34.26,1006.541,56.00763,0.14,0.71,no
1,13.099,74.798,0.126465,-0.020508,-0.77002,34.26,1006.528,56.11227,0.14,0.71,no
1,13.099,74.798,0.131348,-0.023193,-0.784424,34.26,1006.542,55.99498,0.14,0.72,no
1,13.099,74.798,0.122803,-0.018066,-0.779541,34.26,1006.535,56.05363,0.14,0.71,no
1,13.099,74.798,0.115723,-0.0271,-0.777344,34.26,1006.525,56.14109,0.14,0.71,no
1,13.099,74.798,0.124268,-0.026611,-0.774658,34.26,1006.542,55.996,0.14,0.71,no
1,13.099,74.798,0.131592,-0.027832,-0.786621,34.25,1006.526,56.12946,0.14,0.71,no
1,13.099,74.798,0.124023,-0.019043,-0.7854,34.25,1006.563,55.8226,0.14,0.71,no
1,13.099,74.798,0.124268,-0.023682,-0.779541,34.25,1006.535,56.05616,0.14,0.71,no
1,13.099,74.798,0.137451,-0.02002,-0.777344,34.25,1006.528,56.11631,0.14,0.72,no
1,13.099,74.798,0.120361,-0.023682,-0.784912,34.25,1006.525,56.16131,0.14,0.71,no
1,13.099,74.798,0.126465,-0.014893,-0.774414,34.25,1006.533,56.07284,0.14,0.71,no
1,13.099,74.798,0.119629,-0.024658,-0.782715,34.24,1006.535,56.0602,0.14,0.71,no
1,13.099,74.798,0.13208,-0.017822,-0.779541,34.24,1006.526,56.1335,0.14,0.71,no
1,13.099,74.798,0.134277,-0.021484,-0.770752,34.24,1006.531,56.08952,0.14,0.72,no
1,13.099,74.798,0.114258,-0.021484,-0.78125,34.24,1006.554,55.89994,0.14,0.72,no
1,13.099,74.798,0.127686,-0.015869,-0.77002,34.24,1006.536,56.04705,0.14,0.71,no
1,13.099,74.798,0.136963,-0.020752,-0.786377,34.24,1006.545,55.97375,0.14,0.71,no
1,13.099,74.798,0.12793,-0.019531,-0.781006,34.24,1006.547,55.9596,0.14,0.71,no
1,13.099,74.798,0.124512,-0.02002,-0.775146,34.23,1006.536,56.04857,0.14,0.72,no
1,13.099,74.798,0.132813,-0.016846,-0.775879,34.23,1006.545,55.97679,0.14,0.71,no
1,13.099,74.798,0.113525,-0.025879,-0.784668,34.23,1006.525,56.13755,0.14,0.71,no
