Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.125732,-0.024658,-0.775146,33.89,1006.548,55.94898,0.14,0.71,no
1,13.099,74.798,0.123291,-0.024658,-0.780273,33.89,1006.525,56.14008,0.14,0.71,no
1,13.099,74.798,0.122559,-0.025391,-0.778076,33.89,1006.53,56.09559,0.14,0.71,no
1,13.099,74.798,0.118896,-0.021729,-0.777832,33.88,1006.553,55.90702,0.14,0.71,no
1,13.099,74.798,0.124756,-0.023438,-0.776611,33.88,1006.554,55.89489,0.14,0.71,no
1,13.099,74.798,0.136719,-0.022949,-0.78125,33.88,1006.534,56.06778,0.14,0.71,no
1,13.099,74.798,0.123779,-0.022949,-0.777344,33.88,1006.569,55.7766,0.14,0.7,no
1,13.099,74.798,0.128662,-0.021729,-0.774902,33.88,1006.542,55.996,0.14,0.71,no
1,13.099,74.798,0.128906,-0.021484,-0.772461,33.88,1006.554,55.89489,0.14,0.71,no
1,13.099,74.798,0.12085,-0.028076,-0.776123,33.88,1006.551,55.92371,0.14,0.71,no
1,13.099,74.798,0.135498,-0.018555,-0.777344,33.88,1006.556,55.88124,0.14,0.71,no
1,13.099,74.798,0.124268,-0.024414,-0.785156,33.88,1006.53,56.10064,0.14,0.71,no
1,13.099,74.798,0.123047,-0.023438,-0.767334,33.88,1006.549,55.93988,0.14,0.7,no
1,13.099,74.798,0.134277,-0.018555,-0.777832,33.88,1006.549,55.93988,0.14,0.71,no
1,13.099,74.798,0.123535,-0.021484,-0.775635,33.88,1006.549,55.93988,0.14,0.71,no
1,13.099,74.798,0.135742,-0.023682,-0.780762,33.88,1006.54,56.01318,0.14,0.7,no
1,13.099,74.798,0.134521,-0.020752,-0.782715,33.87,1006.54,56.01419,0.14,0.71,no
1,13.099,74.798,0.124268,-0.022949,-0.776611,33.87,1006.548,55.94494,0.14,0.71,no
1,13.099,74.798,0.124756,-0.021729,-0.776611,33.87,1006.588,55.61028,0.14,0.71,no
1,13.099,74.798,0.127197,-0.02124,-0.7771,33.87,1006.552,55.91309,0.14,0.7,no
