Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.128174,-0.026611,-0.776855,34.17,1006.594,55.56327,0.14,0.67,no
1,13.099,74.798,0.125977,-0.023193,-0.775146,34.17,1006.592,55.57894,0.14,0.67,no
1,13.099,74.798,0.11792,-0.032471,-0.77832,34.17,1006.612,55.41718,0.14,0.68,no
1,13.099,74.798,0.130615,-0.025635,-0.777344,34.16,1006.575,55.72453,0.14,0.67,no
1,13.099,74.798,0.130859,-0.027588,-0.778076,34.16,1006.594,55.56428,0.14,0.68,no
1,13.099,74.798,0.128418,-0.025146,-0.776367,34.16,1006.57,55.76851,0.14,0.68,no
1,13.099,74.798,0.12793,-0.027344,-0.782959,34.17,1006.577,55.70987,0.14,0.67,no
1,13.099,74.798,0.14502,-0.021973,-0.780518,34.16,1006.573,55.74121,0.14,0.68,no
1,13.099,74.798,0.107178,-0.03125,-0.775879,34.17,1006.585,55.63606,0.14,0.68,no
1,13.099,74.798,0.122803,-0.029053,-0.776367,34.17,1006.599,55.5208,0.14,0.68,no
1,13.099,74.798,0.131592,-0.026855,-0.781982,34.16,1006.601,55.50665,0.14,0.68,no
1,13.099,74.798,0.128174,-0.016846,-0.772217,34.17,1006.599,55.51979,0.14,0.68,no
1,13.099,74.798,0.131592,-0.027832,-0.775146,34.17,1006.606,55.46115,0.14,0.67,no
1,13.099,74.798,0.124756,-0.021973,-0.780518,34.16,1006.599,55.5208,0.14,0.67,no
1,13.099,74.798,0.132568,-0.025146,-0.783691,34.16,1006.611,55.41819,0.14,0.67,no
1,13.099,74.798,0.129883,-0.022705,-0.781494,34.16,1006.581,55.66892,0.14,0.68,no
1,13.099,74.798,0.126709,-0.02417,-0.779785,34.16,1006.554,55.90045,0.14,0.67,no
1,13.099,74.798,0.12207,-0.0271,-0.779053,34.16,1006.594,55.5663,0.14,0.68,no
1,13.099,74.798,0.133057,-0.018799,-0.781006,34.16,1006.597,55.53546,0.14,0.68,no
1,13.099,74.798,0.124756,-0.024658,-0.775635,34.16,1006.576,55.71088,0.14,0.68,no
1,13.099,74.798,0.128174,-0.025391,-0.781006,34.17,1006.585,55.63606,0.14,0.68,no
1,13.099,74.798,0.138672,-0.014648,-0.768799,34.16,1006.583,55.65224,0.14,0.68,no
1,13.099,74.798,0.126221,-0.023926,-0.777832,34.16,1006.585,55.6391,0.14,0.68,no
1,13.099,74.798,0.128662,-0.030273,-0.782471,34.16,1006.627,55.28726,0.14,0.67,no
1,13.099,74.798,0.123047,-0.020996,-0.777344,34.16,1006.632,55.24379,0.14,0.68,no
