Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.115967,-0.034912,-0.790039,33.93,1006.564,55.81805,0.14,0.77,no
1,13.099,74.798,0.113037,-0.028076,-0.777588,33.93,1006.574,55.72908,0.14,0.77,no
1,13.099,74.798,0.12915,-0.025146,-0.773926,33.94,1006.574,55.72857,0.14,0.77,no
1,13.099,74.798,0.111816,-0.039307,-0.7771,33.94,1006.546,55.96212,0.14,0.77,no
1,13.099,74.798,0.121338,-0.031494,-0.775391,33.94,1006.545,55.97679,0.14,0.77,no
1,13.099,74.798,0.121582,-0.033203,-0.767822,33.94,1006.532,56.0789,0.14,0.77,no
1,13.099,74.798,0.13208,-0.027832,-0.773193,33.94,1006.553,55.90298,0.14,0.77,no
1,13.099,74.798,0.134521,-0.039795,-0.78125,33.94,1006.556,55.88579,0.14,0.77,no
1,13.099,74.798,0.128906,-0.037598,-0.778076,33.95,1006.545,55.97173,0.14,0.77,no
1,13.099,74.798,0.116455,-0.037354,-0.777832,33.95,1006.545,55.97021,0.14,0.77,no
1,13.099,74.798,0.120117,-0.041992,-0.776367,33.95,1006.553,55.90955,0.14,0.77,no
1,13.099,74.798,0.127441,-0.028076,-0.783447,33.95,1006.556,55.88124,0.14,0.77,no
1,13.099,74.798,0.125488,-0.032227,-0.776855,33.96,1006.56,55.8504,0.14,0.77,no
1,13.099,74.798,0.109863,-0.040527,-0.780762,33.96,1006.555,55.89135,0.14,0.77,no
1,13.099,74.798,0.134033,-0.034912,-0.769531,33.96,1006.563,55.81956,0.14,0.77,no
1,13.099,74.798,0.110107,-0.031982,-0.776367,33.96,1006.569,55.77356,0.14,0.77,no
1,13.099,74.798,0.126709,-0.031494,-0.786865,33.97,1006.543,55.99397,0.14,0.77,no
1,13.099,74.798,0.122803,-0.032959,-0.778809,33.97,1006.522,56.16889,0.14,0.77,no
1,13.099,74.798,0.129883,-0.031738,-0.776611,33.97,1006.532,56.08042,0.14,0.77,no
1,13.099,74.798,0.12085,-0.034668,-0.782471,33.97,1006.548,55.94645,0.14,0.77,no
1,13.099,74.798,0.114502,-0.035889,-0.784912,33.97,1006.538,56.03543,0.14,0.77,no
1,13.099,74.798,0.116699,-0.035645,-0.783691,33.98,1006.55,55.93028,0.14,0.77,no
1,13.099,74.798,0.12207,-0.040039,-0.771973,33.98,1006.557,55.87214,0.14,0.77,no
1,13.099,74.798,0.124023,-0.033447,-0.773926,33.98,1006.559,55.85799,0.14,0.77,no
1,13.099,74.798,0.118896,-0.036865,-0.780762,33.98,1006.545,55.97375,0.14,0.77,no
1,13.099,74.798,0.124023,-0.028809,-0.777344,33.98,1006.542,56.00206,0.14,0.76,no
1,13.099,74.798,0.116943,-0.033936,-0.779053,33.98,1006.552,55.91359,0.14,0.77,no
1,13.099,74.798,0.11792,-0.041748,-0.775146,33.99,1006.566,55.79429,0.14,0.77,no
1,13.099,74.798,0.118896,-0.038086,-0.772705,33.99,1006.53,56.10064,0.14,0.77,no
1,13.099,74.798,0.112061,-0.034424,-0.782715,33.99,1006.54,56.01419,0.14,0.77,no
