Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.108398,-0.031982,-0.772705,34.12,1006.536,56.04958,0.14,0.76,no
1,13.099,74.798,0.112061,-0.032959,-0.777344,34.12,1006.541,56.0051,0.14,0.76,no
1,13.099,74.798,0.125732,-0.026611,-0.769043,34.12,1006.536,56.04857,0.14,0.76,no
1,13.099,74.798,0.123291,-0.032959,-0.776611,34.12,1006.541,56.00459,0.14,0.76,no
1,13.099,74.798,0.121826,-0.033691,-0.776611,34.13,1006.54,56.01672,0.14,0.76,no
1,13.099,74.798,0.11084,-0.035889,-0.781982,34.13,1006.531,56.09104,0.14,0.77,no
1,13.099,74.798,0.116455,-0.034424,-0.776855,34.13,1006.559,55.85748,0.14,0.76,no
1,13.099,74.798,0.124023,-0.031738,-0.774414,34.13,1006.523,56.16131,0.14,0.76,no
1,13.099,74.798,0.11792,-0.031494,-0.773193,34.13,1006.556,55.88326,0.14,0.76,no
1,13.099,74.798,0.121826,-0.034424,-0.77124,34.14,1006.53,56.10064,0.14,0.77,no
1,13.099,74.798,0.125244,-0.034668,-0.775391,34.14,1006.533,56.07233,0.14,0.76,no
1,13.099,74.798,0.119629,-0.03125,-0.779297,34.14,1006.563,55.8231,0.14,0.76,no
1,13.099,74.798,0.109863,-0.031738,-0.778564,34.14,1006.545,55.96971,0.14,0.76,no
1,13.099,74.798,0.12085,-0.032959,-0.770752,34.14,1006.533,56.07233,0.14,0.76,no
1,13.099,74.798,0.115234,-0.028809,-0.776611,34.14,1006.542,55.99751,0.14,0.76,no
1,13.099,74.798,0.121338,-0.034912,-0.777832,34.15,1006.555,55.89438,0.14,0.76,no
1,13.099,74.798,0.118652,-0.034912,-0.777832,34.14,1006.535,56.05616,0.14,0.76,no
1,13.099,74.798,0.116699,-0.030273,-0.781494,34.14,1006.542,55.99852,0.14,0.76,no
1,13.099,74.798,0.136963,-0.034912,-0.780273,34.14,1006.537,56.0415,0.14,0.76,no
1,13.099,74.798,0.125732,-0.032471,-0.780518,34.14,1006.535,56.05616,0.14,0.76,no
1,13.099,74.798,0.118408,-0.030029,-0.78125,34.15,1006.525,56.1426,0.14,0.76,no
1,13.099,74.798,0.126953,-0.032227,-0.778076,34.15,1006.569,55.77508,0.14,0.76,no
1,13.099,74.798,0.121582,-0.03418,-0.778076,34.16,1006.55,55.9323,0.14,0.76,no
1,13.099,74.798,0.118164,-0.032227,-0.773926,34.16,1006.531,56.09306,0.14,0.76,no
1,13.099,74.798,0.112061,-0.044434,-0.774902,34.16,1006.559,55.8595,0.14,0.76,no
1,13.099,74.798,0.123047,-0.034424,-0.774902,34.16,1006.555,55.88781,0.14,0.76,no
1,13.099,74.798,0.119629,-0.036133,-0.773193,34.16,1006.587,55.62444,0.14,0.77,no
1,13.099,74.798,0.122314,-0.03833,-0.782471,34.17,1006.599,55.51979,0.14,0.76,no
1,13.099,74.798,0.118896,-0.034424,-0.774902,34.17,1006.582,55.66538,0.14,0.76,no
1,13.099,74.798,0.114014,-0.031982,-0.774902,34.17,1006.603,55.49098,0.14,0.76,no
1,13.099,74.798,0.117432,-0.02832,-0.78418,34.17,1006.542,56.00055,0.14,0.76,no
1,13.099,74.798,0.116943,-0.033447,-0.781738,34.17,1006.549,55.94241,0.14,0.76,no
1,13.099,74.798,0.113037,-0.026367,-0.788574,34.17,1006.528,56.11732,0.14,0.76,no
