Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.120117,-0.033203,-0.780762,34.48,1006.542,56.00004,0.14,0.74,no
1,13.099,74.798,0.115967,-0.028564,-0.780273,34.48,1006.542,56.00105,0.14,0.74,no
1,13.099,74.798,0.121826,-0.031738,-0.773682,34.48,1006.519,56.18962,0.14,0.74,no
1,13.099,74.798,0.114746,-0.035156,-0.78418,34.48,1006.526,56.13097,0.14,0.74,no
1,13.099,74.798,0.118408,-0.034424,-0.781494,34.48,1006.544,55.98589,0.14,0.74,no
1,13.099,74.798,0.118896,-0.03418,-0.773682,34.48,1006.539,56.02835,0.14,0.74,no
1,13.099,74.798,0.121094,-0.030518,-0.776611,34.48,1006.533,56.07335,0.14,0.73,no
1,13.099,74.798,0.118896,-0.031006,-0.772461,34.48,1006.551,55.92623,0.14,0.74,no
1,13.099,74.798,0.119873,-0.033203,-0.77002,34.48,1006.584,55.6492,0.14,0.74,no
1,13.099,74.798,0.119629,-0.037354,-0.773193,34.48,1006.57,55.76598,0.14,0.74,no
1,13.099,74.798,0.131592,-0.033691,-0.77124,34.48,1006.566,55.79631,0.14,0.74,no
1,13.099,74.798,0.123779,-0.037598,-0.776611,34.48,1006.547,55.95555,0.14,0.73,no
1,13.099,74.798,0.121094,-0.037109,-0.779297,34.48,1006.568,55.78317,0.14,0.73,no
1,13.099,74.798,0.123291,-0.037354,-0.776855,34.48,1006.554,55.89944,0.14,0.74,no
1,13.099,74.798,0.124268,-0.0271,-0.781738,34.48,1006.572,55.75183,0.14,0.73,no
1,13.099,74.798,0.112793,-0.025146,-0.778809,34.48,1006.608,55.44346,0.14,0.73,no
1,13.099,74.798,0.122559,-0.039307,-0.7771,34.48,1006.575,55.72149,0.14,0.73,no
1,13.099,74.798,0.118896,-0.030273,-0.77832,34.47,1006.552,55.91511,0.14,0.73,no
1,13.099,74.798,0.120605,-0.032959,-0.770508,34.48,1006.564,55.81148,0.14,0.73,no
1,13.099,74.798,0.116943,-0.031982,-0.778809,34.48,1006.572,55.75183,0.14,0.73,no
1,13.099,74.798,0.117188,-0.031982,-0.772949,34.48,1006.585,55.63505,0.14,0.73,no
1,13.099,74.798,0.117676,-0.03833,-0.779785,34.48,1006.579,55.69268,0.14,0.74,no
1,13.099,74.798,0.117188,-0.032959,-0.780762,34.48,1006.566,55.7948,0.14,0.74,no
1,13.099,74.798,0.116455,-0.0354,-0.793701,34.48,1006.57,55.76447,0.14,0.73,no
1,13.099,74.798,0.125732,-0.04541,-0.789307,34.48,1006.521,56.17344,0.14,0.73,no
1,13.099,74.798,0.12793,-0.02832,-0.773926,34.48,1006.551,55.92724,0.14,0.74,no
1,13.099,74.798,0.121582,-0.029785,-0.780518,34.48,1006.551,55.92472,0.14,0.73,no
1,13.099,74.798,0.123047,-0.0354,-0.771729,34.48,1006.54,56.0147,0.14,0.73,no
1,13.099,74.798,0.118408,-0.032471,-0.776367,34.48,1006.552,55.91107,0.14,0.73,no
1,13.099,74.798,0.121094,-0.036865,-0.768311,34.48,1006.552,55.91208,0.14,0.73,no
1,13.099,74.798,0.129883,-0.036621,-0.775391,34.48,1006.58,55.67802,0.14,0.73,no
1,13.099,74.798,0.12207,-0.036865,-0.774902,34.48,1006.561,55.83928,0.14,0.73,no
1,13.099,74.798,0.115723,-0.039063,-0.769775,34.48,1006.563,55.82462,0.14,0.73,no
1,13.099,74.798,0.124268,-0.026123,-0.77832,34.48,1006.565,55.81047,0.14,0.73,no
