Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.132568,-0.020264,-0.779297,33.74,1006.546,55.96566,0.14,0.7,no
1,13.099,74.798,0.124512,-0.023193,-0.778809,33.75,1006.558,55.86203,0.14,0.7,no
1,13.099,74.798,0.124512,-0.023438,-0.781982,33.75,1006.534,56.06576,0.14,0.7,no
1,13.099,74.798,0.121338,-0.025635,-0.783203,33.74,1006.555,55.89236,0.14,0.7,no
1,13.099,74.798,0.145996,-0.024414,-0.788574,33.74,1006.542,55.99549,0.14,0.7,no
1,13.099,74.798,0.131348,-0.003906,-0.773926,33.74,1006.511,56.25686,0.14,0.7,no
1,13.099,74.798,0.110596,-0.009033,-0.745605,33.74,1006.553,55.90854,0.14,0.7,no
1,13.099,74.798,0.119873,-0.010742,-0.7771,33.74,1006.555,55.89438,0.14,0.7,no
1,13.099,74.798,0.109375,-0.015625,-0.780273,33.74,1006.542,55.99549,0.14,0.7,no
1,13.099,74.798,0.110352,-0.018066,-0.772705,33.74,1006.53,56.09811,0.14,0.7,no
1,13.099,74.798,0.105469,-0.019775,-0.787598,33.74,1006.544,55.97982,0.14,0.7,no
1,13.099,74.798,0.153809,-0.007324,-0.762451,33.74,1006.553,55.90955,0.14,0.7,no
1,13.099,74.798,0.176025,-0.036133,-0.794434,33.75,1006.557,55.87669,0.14,0.7,no
1,13.099,74.798,0.109131,-0.017822,-0.772949,33.74,1006.555,55.89236,0.14,0.7,yes
1,13.099,74.798,0.141113,-0.050537,-0.286377,33.73,1006.527,56.12845,0.14,0.7,no
1,13.099,74.798,0.12915,-0.026611,-0.773682,33.74,1006.563,55.82108,0.14,0.7,no
1,13.099,74.798,0.123779,-0.018555,-0.779541,33.73,1006.528,56.11278,0.14,0.7,no
1,13.099,74.798,0.13623,-0.017578,-0.777344,33.74,1006.551,55.9227,0.14,0.7,no
1,13.099,74.798,0.128418,-0.029541,-0.776855,33.74,1006.537,56.03947,0.14,0.7,no
1,13.099,74.798,0.139893,-0.015625,-0.772217,33.74,1006.541,56.01015,0.14,0.7,no
1,13.099,74.798,0.132324,-0.018555,-0.787354,33.73,1006.523,56.15676,0.14,0.7,no
1,13.099,74.798,0.127441,-0.0271,-0.778076,33.74,1006.542,55.99549,0.14,0.7,no
1,13.099,74.798,0.113037,-0.019775,-0.779541,33.74,1006.52,56.18507,0.14,0.7,no
1,13.099,74.798,0.128418,-0.019531,-0.779053,33.74,1006.528,56.11227,0.14,0.7,no
1,13.099,74.798,0.138672,-0.019775,-0.774902,33.74,1006.549,55.93887,0.14,0.7,no
1,13.099,74.798,0.130371,-0.020264,-0.779297,33.74,1006.53,56.09862,0.14,0.7,no
1,13.099,74.798,0.107178,-0.031494,-0.782227,33.74,1006.521,56.17142,0.14,0.7,no
1,13.099,74.798,0.124512,-0.021973,-0.780273,33.73,1006.521,56.17142,0.14,0.7,no
