Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.134277,-0.021729,-0.781738,33.9,1006.513,56.23916,0.14,0.69,no
1,13.099,74.798,0.132813,-0.020264,-0.775879,33.9,1006.508,56.28264,0.14,0.69,no
1,13.099,74.798,0.137695,-0.012451,-0.781738,33.9,1006.503,56.32561,0.14,0.68,no
1,13.099,74.798,0.129883,-0.015381,-0.772705,33.9,1006.515,56.224,0.14,0.69,no
1,13.099,74.798,0.134277,-0.023438,-0.781982,33.9,1006.508,56.28264,0.14,0.69,no
1,13.099,74.798,0.138184,-0.014648,-0.779785,33.9,1006.51,56.26848,0.14,0.69,no
1,13.099,74.798,0.137939,-0.021484,-0.773193,33.9,1006.533,56.07789,0.14,0.69,no
1,13.099,74.798,0.132568,-0.031494,-0.782227,33.9,1006.52,56.18102,0.14,0.69,no
1,13.099,74.798,0.132324,-0.019775,-0.776123,33.9,1006.527,56.12339,0.14,0.69,no
1,13.099,74.798,0.136475,-0.022461,-0.77002,33.9,1006.543,55.98943,0.14,0.69,no
1,13.099,74.798,0.13623,-0.02417,-0.774902,33.91,1006.522,56.16283,0.14,0.68,no
1,13.099,74.798,0.141113,-0.019775,-0.780029,33.91,1006.514,56.23562,0.14,0.69,no
1,13.099,74.798,0.137939,-0.017578,-0.775879,33.9,1006.524,56.15018,0.14,0.69,no
1,13.099,74.798,0.134521,-0.016113,-0.77417,33.91,1006.516,56.21995,0.14,0.69,no
1,13.099,74.798,0.130859,-0.014893,-0.776611,33.91,1006.524,56.14766,0.14,0.69,no
1,13.099,74.798,0.134766,-0.021484,-0.775146,33.91,1006.528,56.11935,0.14,0.69,no
1,13.099,74.798,0.133057,-0.027588,-0.776611,33.91,1006.533,56.07587,0.14,0.69,no
1,13.099,74.798,0.14209,-0.023438,-0.77417,33.91,1006.503,56.32308,0.14,0.69,no
1,13.099,74.798,0.134521,-0.025146,-0.779785,33.91,1006.512,56.24776,0.14,0.69,no
1,13.099,74.798,0.128906,-0.020508,-0.774414,33.91,1006.519,56.17698,0.14,0.69,no
1,13.099,74.798,0.128906,-0.020752,-0.789063,33.91,1006.538,56.03037,0.14,0.69,no
1,13.099,74.798,0.131592,-0.024414,-0.785156,33.91,1006.502,56.33572,0.14,0.69,no
1,13.099,74.798,0.142578,-0.019775,-0.776367,33.91,1006.53,56.10064,0.14,0.69,no
1,13.099,74.798,0.131348,-0.015869,-0.773193,33.92,1006.518,56.20377,0.14,0.69,no
1,13.099,74.798,0.138916,-0.025635,-0.778076,33.92,1006.53,56.10064,0.14,0.69,no
1,13.099,74.798,0.135498,-0.022217,-0.786865,33.92,1006.523,56.15929,0.14,0.69,no
1,13.099,74.798,0.123779,-0.026611,-0.780762,33.91,1006.533,56.07335,0.14,0.69,no
