Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.124023,-0.030029,-0.77417,34.49,1006.555,55.89337,0.14,0.74,no
1,13.099,74.798,0.119629,-0.032471,-0.781006,34.49,1006.591,55.58804,0.14,0.74,no
1,13.099,74.798,0.118652,-0.029297,-0.775391,34.49,1006.586,55.631,0.14,0.74,no
1,13.099,74.798,0.127197,-0.03418,-0.774414,34.49,1006.569,55.77609,0.14,0.74,no
1,13.099,74.798,0.116943,-0.035889,-0.770264,34.49,1006.546,55.96667,0.14,0.71,no
1,13.099,74.798,0.126953,-0.034424,-0.782227,34.48,1006.58,55.67701,0.14,0.74,no
1,13.099,74.798,0.123779,-0.031006,-0.785889,34.49,1006.563,55.82058,0.14,0.74,no
1,13.099,74.798,0.121094,-0.032959,-0.785889,34.49,1006.567,55.79277,0.14,0.74,no
1,13.099,74.798,0.114014,-0.0354,-0.791992,34.49,1006.553,55.90955,0.14,0.74,no
1,13.099,74.798,0.109863,-0.039063,-0.782959,34.49,1006.565,55.80693,0.14,0.74,no
1,13.099,74.798,0.122314,-0.037598,-0.792236,34.49,1006.567,55.79277,0.14,0.74,no
1,13.099,74.798,0.118408,-0.035889,-0.781494,34.49,1006.546,55.96667,0.14,0.74,no
1,13.099,74.798,0.133789,-0.032959,-0.771729,34.49,1006.567,55.79277,0.14,0.74,no
1,13.099,74.798,0.12085,-0.040039,-0.782471,34.49,1006.563,55.82108,0.14,0.74,no
1,13.099,74.798,0.119385,-0.023438,-0.775879,34.48,1006.546,55.96819,0.14,0.74,no
1,13.099,74.798,0.124268,-0.033691,-0.782715,34.49,1006.558,55.86506,0.14,0.74,no
1,13.099,74.798,0.120361,-0.033691,-0.780273,34.49,1006.563,55.82058,0.14,0.74,no
1,13.099,74.798,0.117676,-0.031738,-0.776855,34.49,1006.541,56.01015,0.14,0.74,no
1,13.099,74.798,0.119385,-0.031982,-0.778076,34.49,1006.561,55.83675,0.14,0.74,no
1,13.099,74.798,0.117676,-0.037598,-0.772217,34.49,1006.527,56.12845,0.14,0.74,no
1,13.099,74.798,0.117188,-0.034424,-0.780762,34.49,1006.565,55.80642,0.14,0.74,no
1,13.099,74.798,0.114258,-0.030518,-0.775391,34.49,1006.554,55.89489,0.14,0.74,no
1,13.099,74.798,0.120117,-0.033447,-0.781006,34.49,1006.549,55.93887,0.14,0.74,no
1,13.099,74.798,0.113525,-0.027832,-0.776367,34.49,1006.584,55.64566,0.14,0.74,no
1,13.099,74.798,0.123291,-0.043701,-0.773193,34.49,1006.561,55.83675,0.14,0.74,no
1,13.099,74.798,0.128906,-0.030518,-0.7771,34.49,1006.586,55.63151,0.14,0.74,no
1,13.099,74.798,0.115234,-0.033691,-0.772705,34.49,1006.572,55.74778,0.14,0.74,no
1,13.099,74.798,0.122559,-0.035645,-0.775146,34.48,1006.582,55.66235,0.14,0.74,no
1,13.099,74.798,0.110596,-0.036133,-0.7771,34.49,1006.581,55.67499,0.14,0.74,no
1,13.099,74.798,0.126709,-0.03833,-0.776611,34.49,1006.572,55.74778,0.14,0.74,no
1,13.099,74.798,0.125244,-0.035645,-0.777832,34.49,1006.589,55.60168,0.14,0.74,no
1,13.099,74.798,0.12085,-0.040283,-0.776123,34.49,1006.544,55.98184,0.14,0.74,no
1,13.099,74.798,0.121582,-0.0354,-0.778564,34.49,1006.544,55.98184,0.14,0.74,no
1,13.099,74.798,0.118164,-0.03833,-0.784424,34.49,1006.565,55.80642,0.14,0.74,no
1,13.099,74.798,0.132568,-0.039063,-0.776611,34.49,1006.567,55.79227,0.14,0.74,no
1,13.099,74.798,0.11792,-0.035889,-0.772217,34.49,1006.558,55.86506,0.14,0.74,no
1,13.099,74.798,0.120605,-0.033447,-0.7854,34.49,1006.565,55.80642,0.14,0.74,no
1,13.099,74.798,0.105713,-0.032471,-0.780762,34.49,1006.554,55.89489,0.14,0.74,no
1,13.099,74.798,0.120117,-0.034912,-0.773926,34.49,1006.581,55.67499,0.14,0.74,no
1,13.099,74.798,0.115723,-0.040039,-0.769775,34.49,1006.525,56.1421,0.14,0.74,no
1,13.099,74.798,0.121582,-0.0271,-0.772461,34.49,1006.555,55.89337,0.14,0.74,no
