Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.140625,-0.016357,-0.773926,33.7,1006.535,56.05616,0.14,0.69,no
1,13.099,74.798,0.132813,-0.024414,-0.781982,33.71,1006.541,56.00914,0.14,0.69,no
1,13.099,74.798,0.129395,-0.027832,-0.774902,33.71,1006.543,55.99347,0.14,0.7,no
1,13.099,74.798,0.132813,-0.013184,-0.782471,33.71,1006.508,56.28517,0.14,0.7,no
1,13.099,74.798,0.139893,-0.018799,-0.775391,33.7,1006.546,55.96718,0.14,0.7,no
1,13.099,74.798,0.138428,-0.023193,-0.779297,33.7,1006.516,56.21439,0.14,0.7,no
1,13.099,74.798,0.132568,-0.025146,-0.777832,33.71,1006.525,56.14008,0.14,0.69,no
1,13.099,74.798,0.131592,-0.017822,-0.773193,33.71,1006.529,56.11126,0.14,0.69,no
1,13.099,74.798,0.12793,-0.025146,-0.775391,33.71,1006.529,56.10924,0.14,0.7,no
1,13.099,74.798,0.122559,-0.030762,-0.780029,33.71,1006.55,55.93533,0.14,0.69,no
1,13.099,74.798,0.134033,-0.02417,-0.775146,33.71,1006.555,55.89287,0.14,0.69,no
1,13.099,74.798,0.130127,-0.024658,-0.774902,33.71,1006.532,56.08143,0.14,0.7,no
1,13.099,74.798,0.128662,-0.015625,-0.77417,33.71,1006.548,55.9505,0.14,0.69,no
1,13.099,74.798,0.13501,-0.024658,-0.767334,33.71,1006.532,56.08143,0.14,0.7,no
1,13.099,74.798,0.134277,-0.017822,-0.77832,33.71,1006.532,56.08143,0.14,0.7,no
1,13.099,74.798,0.127197,-0.0271,-0.77124,33.71,1006.539,56.02431,0.14,0.7,no
1,13.099,74.798,0.134033,-0.021484,-0.775635,33.71,1006.544,55.97931,0.14,0.7,no
1,13.099,74.798,0.130859,-0.023193,-0.779785,33.71,1006.553,55.90652,0.14,0.69,no
1,13.099,74.798,0.136963,-0.016846,-0.779541,33.71,1006.55,55.93483,0.14,0.7,no
1,13.099,74.798,0.139404,-0.025635,-0.783447,33.71,1006.55,55.93533,0.14,0.7,no
1,13.099,74.798,0.137695,-0.023438,-0.783203,33.71,1006.532,56.08143,0.14,0.7,no
1,13.099,74.798,0.144043,-0.009277,-0.776367,33.71,1006.534,56.06525,0.14,0.7,no
1,13.099,74.798,0.12793,-0.010254,-0.772461,33.71,1006.551,55.92067,0.14,0.7,no
1,13.099,74.798,0.135498,-0.021484,-0.775391,33.71,1006.562,55.83271,0.14,0.69,no
1,13.099,74.798,0.13501,-0.016846,-0.769531,33.71,1006.604,55.48188,0.14,0.69,no
1,13.099,74.798,0.141602,-0.016113,-0.780029,33.71,1006.56,55.84686,0.14,0.7,no
1,13.099,74.798,0.132813,-0.021973,-0.781494,33.71,1006.551,55.92067,0.14,0.69,no
1,13.099,74.798,0.136475,-0.016113,-0.774658,33.71,1006.546,55.96465,0.14,0.69,no
1,13.099,74.798,0.139893,-0.025146,-0.786133,33.71,1006.522,56.16788,0.14,0.7,no
1,13.099,74.798,0.130127,-0.0271,-0.780762,33.71,1006.541,56.00763,0.14,0.7,no
1,13.099,74.798,0.137451,-0.017822,-0.778076,33.71,1006.555,55.89135,0.14,0.69,no
1,13.099,74.798,0.120605,-0.026367,-0.773926,33.71,1006.558,55.86254,0.14,0.69,no
1,13.099,74.798,0.127686,-0.029541,-0.784668,33.71,1006.555,55.89135,0.14,0.69,no
1,13.099,74.798,0.136963,-0.020752,-0.779541,33.71,1006.579,55.68763,0.14,0.69,no
1,13.099,74.798,0.131592,-0.023193,-0.771729,33.72,1006.527,56.1244,0.14,0.69,no
1,13.099,74.798,0.132324,-0.017334,-0.780518,33.71,1006.546,55.96465,0.14,0.7,no
1,13.099,74.798,0.150146,-0.02832,-0.775146,33.72,1006.55,55.93483,0.14,0.7,no
1,13.099,74.798,0.137939,-0.015869,-0.775879,33.72,1006.527,56.12491,0.14,0.7,no
1,13.099,74.798,0.126953,-0.020996,-0.780273,33.72,1006.555,55.88984,0.14,0.7,no
1,13.099,74.798,0.12793,-0.024902,-0.776367,33.72,1006.543,55.99296,0.14,0.7,no
1,13.099,74.798,0.141846,-0.025635,-0.781006,33.72,1006.545,55.9778,0.14,0.7,no
1,13.099,74.798,0.141357,-0.027832,-0.773926,33.72,1006.539,56.02077,0.14,0.69,no
1,13.099,74.798,0.13501,-0.022949,-0.774902,33.72,1006.562,55.83018,0.14,0.69,no
1,13.099,74.798,0.135742,-0.028076,-0.778564,33.72,1006.555,55.88984,0.14,0.7,no
1,13.099,74.798,0.134277,-0.02002,-0.779541,33.72,1006.569,55.77053,0.14,0.69,no
1,13.099,74.798,0.140625,-0.021729,-0.774902,33.72,1006.539,56.02127,0.14,0.69,no
1,13.099,74.798,0.13208,-0.02832,-0.769287,33.72,1006.553,55.90399,0.14,0.7,no
