Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.127197,-0.030273,-0.777832,33.36,1006.606,55.46621,0.14,0.78,no
1,13.099,74.798,0.12207,-0.030518,-0.775146,33.37,1006.58,55.68206,0.14,0.78,no
1,13.099,74.798,0.127197,-0.035156,-0.777344,33.37,1006.59,55.59461,0.14,0.78,no
1,13.099,74.798,0.119629,-0.026855,-0.7771,33.37,1006.573,55.73969,0.14,0.78,no
1,13.099,74.798,0.11792,-0.035645,-0.780762,33.37,1006.601,55.50311,0.14,0.78,no
1,13.099,74.798,0.12207,-0.037842,-0.776123,33.38,1006.591,55.58955,0.14,0.78,no
1,13.099,74.798,0.126709,-0.02832,-0.775146,33.38,1006.588,55.61685,0.14,0.78,no
1,13.099,74.798,0.111572,-0.040039,-0.779297,33.39,1006.576,55.71745,0.14,0.78,no
1,13.099,74.798,0.129639,-0.029541,-0.778076,33.39,1006.562,55.8317,0.14,0.78,no
1,13.099,74.798,0.126953,-0.029785,-0.778076,33.4,1006.587,55.62494,0.14,0.78,no
1,13.099,74.798,0.114014,-0.037354,-0.774902,33.4,1006.561,55.84232,0.14,0.78,no
1,13.099,74.798,0.121582,-0.032959,-0.780273,33.41,1006.606,55.46267,0.14,0.78,no
1,13.099,74.798,0.117676,-0.032227,-0.769287,33.41,1006.597,55.53546,0.14,0.78,no
1,13.099,74.798,0.115967,-0.0354,-0.77832,33.41,1006.59,55.5941,0.14,0.78,no
1,13.099,74.798,0.11792,-0.036865,-0.781006,33.41,1006.585,55.63505,0.14,0.78,no
1,13.099,74.798,0.119141,-0.031982,-0.778076,33.41,1006.58,55.67751,0.14,0.78,no
1,13.099,74.798,0.119141,-0.028809,-0.771484,33.42,1006.56,55.8499,0.14,0.78,no
1,13.099,74.798,0.119385,-0.033447,-0.775635,33.41,1006.593,55.5754,0.14,0.78,no
1,13.099,74.798,0.121338,-0.028564,-0.778076,33.42,1006.584,55.64516,0.14,0.78,no
1,13.099,74.798,0.127686,-0.036377,-0.775391,33.43,1006.59,55.59865,0.14,0.78,no
1,13.099,74.798,0.109131,-0.029785,-0.771973,33.43,1006.578,55.70178,0.14,0.78,no
1,13.099,74.798,0.12085,-0.034668,-0.770996,33.43,1006.597,55.54203,0.14,0.78,no
1,13.099,74.798,0.113281,-0.033691,-0.779785,33.44,1006.604,55.47935,0.14,0.78,no
1,13.099,74.798,0.127441,-0.040039,-0.774414,33.43,1006.588,55.6123,0.14,0.78,no
1,13.099,74.798,0.111572,-0.033203,-0.780029,33.44,1006.57,55.76851,0.14,0.78,no
1,13.099,74.798,0.125732,-0.031982,-0.782227,33.45,1006.629,55.26906,0.14,0.78,no
1,13.099,74.798,0.125,-0.034424,-0.768066,33.45,1006.593,55.57489,0.14,0.78,no
1,13.099,74.798,0.116699,-0.0354,-0.779541,33.46,1006.577,55.70431,0.14,0.78,no
1,13.099,74.798,0.118408,-0.032227,-0.781738,33.45,1006.562,55.83473,0.14,0.78,no
1,13.099,74.798,0.113037,-0.031494,-0.767578,33.45,1006.579,55.68914,0.14,0.78,no
1,13.099,74.798,0.125244,-0.03418,-0.772949,33.46,1006.591,55.585,0.14,0.78,no
1,13.099,74.798,0.128662,-0.029785,-0.77002,33.46,1006.569,55.77508,0.14,0.78,no
1,13.099,74.798,0.122559,-0.037598,-0.779053,33.46,1006.586,55.62898,0.14,0.78,no
1,13.099,74.798,0.108643,-0.031006,-0.765625,33.47,1006.611,55.42324,0.14,0.78,no
