Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.116699,-0.041992,-0.77832,30.76,1006.658,55.0244,0.15,0.82,no
1,13.099,74.798,0.107178,-0.04126,-0.780518,30.76,1006.65,55.09365,0.15,0.82,no
1,13.099,74.798,0.119629,-0.033691,-0.770508,30.77,1006.662,54.99154,0.15,0.82,no
1,13.099,74.798,0.120117,-0.044189,-0.784912,30.77,1006.657,55.16392,0.15,0.82,no
1,13.099,74.798,0.113525,-0.051514,-0.833252,30.77,1006.623,55.32062,0.15,0.82,no
